tf	n_autosomal_sites	n_written	status
IRX2	568	0	dropped: <10000 autosomal sites
IRX3	45	0	dropped: <10000 autosomal sites
IRX5	22	0	dropped: <10000 autosomal sites
ISL1	27930	10000	kept
ISL2	6	0	dropped: <10000 autosomal sites
JDP2	1973	0	dropped: <10000 autosomal sites
JUN	405328	10000	kept
JUNB	145993	10000	kept
JUND	166618	10000	kept
KAT7	16350	10000	kept
KDM2B	78546	10000	kept
KDM5B	122356	10000	kept
KLF1	37896	10000	kept
KLF10	13844	10000	kept
KLF11	27461	10000	kept
KLF12	5928	0	dropped: <10000 autosomal sites
KLF13	2167	0	dropped: <10000 autosomal sites
KLF14	253	0	dropped: <10000 autosomal sites
KLF15	17391	10000	kept
KLF16	22945	10000	kept
KLF17	3578	0	dropped: <10000 autosomal sites
KLF3	9905	0	dropped: <10000 autosomal sites
KLF4	183993	10000	kept
KLF5	87121	10000	kept
KLF6	39418	10000	kept
KLF7	1055	0	dropped: <10000 autosomal sites
KLF8	4787	0	dropped: <10000 autosomal sites
KLF9	37413	10000	kept
KMT2A	423238	10000	kept
KMT2B	159924	10000	kept
LCORL	2320	0	dropped: <10000 autosomal sites
LEF1	14949	10000	kept
LHX2	5252	0	dropped: <10000 autosomal sites
LHX3	39	0	dropped: <10000 autosomal sites
LHX4	264	0	dropped: <10000 autosomal sites
LHX5	19	0	dropped: <10000 autosomal sites
LHX6	6	0	dropped: <10000 autosomal sites
LHX9	9243	0	dropped: <10000 autosomal sites
LMX1B	93	0	dropped: <10000 autosomal sites
LYL1	74345	10000	kept
MAF	62900	10000	kept
MAFB	3592	0	dropped: <10000 autosomal sites
MAFF	43647	10000	kept
MAFG	18723	10000	kept
MAFK	74369	10000	kept
MAX	288473	10000	kept
MAZ	144068	10000	kept
MBD1	4853	0	dropped: <10000 autosomal sites
MBD2	15071	10000	kept
MBD3	17025	10000	kept
MECOM	70206	10000	kept
MECP2	75286	10000	kept
MEF2A	20231	10000	kept
MEF2B	48469	10000	kept
MEF2C	12889	10000	kept
MEF2D	3205	0	dropped: <10000 autosomal sites
MEIS1	21554	10000	kept
MEIS2	19193	10000	kept
MEOX2	25	0	dropped: <10000 autosomal sites
MGA	4594	0	dropped: <10000 autosomal sites
MITF	151834	10000	kept
MIXL1	23855	10000	kept
MLX	10450	10000	kept
MLXIP	52087	10000	kept
MNT	46560	10000	kept
MNX1	125	0	dropped: <10000 autosomal sites
MSC	30370	10000	kept
MSX1	592	0	dropped: <10000 autosomal sites
MSX2	23	0	dropped: <10000 autosomal sites
MXD1	1056	0	dropped: <10000 autosomal sites
MXI1	15345	10000	kept
MYB	125962	10000	kept
MYBL1	951	0	dropped: <10000 autosomal sites
MYBL2	18372	10000	kept
MYC	687866	10000	kept
MYCN	427373	10000	kept
MYF5	11766	10000	kept
MYF6	159	0	dropped: <10000 autosomal sites
MYNN	12564	10000	kept
MYOD1	216341	10000	kept
MYOG	107059	10000	kept
MYRF	7853	0	dropped: <10000 autosomal sites
MZF1	3817	0	dropped: <10000 autosomal sites
NANOG	106276	10000	kept
NEUROD1	176575	10000	kept
NEUROD2	110	0	dropped: <10000 autosomal sites
NEUROG2	61296	10000	kept
NEUROG3	22	0	dropped: <10000 autosomal sites
NFAT5	2277	0	dropped: <10000 autosomal sites
NFATC1	49167	10000	kept
NFATC2	8265	0	dropped: <10000 autosomal sites
NFATC3	13337	10000	kept
NFATC4	13	0	dropped: <10000 autosomal sites
NFE2	198784	10000	kept
NFE2L1	5113	0	dropped: <10000 autosomal sites
NFE2L2	27266	10000	kept
NFE2L3	193	0	dropped: <10000 autosomal sites
NFIA	28149	10000	kept
NFIB	11988	10000	kept
NFIC	72394	10000	kept
NFIL3	40165	10000	kept
NFKB1	304950	10000	kept
NFKB2	62354	10000	kept
NFXL1	1599	0	dropped: <10000 autosomal sites
NFYA	157399	10000	kept
NFYB	6290	0	dropped: <10000 autosomal sites
NFYC	12339	10000	kept
NHLH1	11	0	dropped: <10000 autosomal sites
NKX2-1	113124	10000	kept
NKX2-2	2057	0	dropped: <10000 autosomal sites
NKX2-3	1386	0	dropped: <10000 autosomal sites
NKX2-5	7961	0	dropped: <10000 autosomal sites
NKX2-8	68	0	dropped: <10000 autosomal sites
NKX3-1	23326	10000	kept
NKX6-1	572	0	dropped: <10000 autosomal sites
NR0B1	676	0	dropped: <10000 autosomal sites
NR1D1	142	0	dropped: <10000 autosomal sites
NR1H2	9550	0	dropped: <10000 autosomal sites
NR1H3	29702	10000	kept
NR1H4	2259	0	dropped: <10000 autosomal sites
NR1I2	416	0	dropped: <10000 autosomal sites
NR2C1	6439	0	dropped: <10000 autosomal sites
NR2C2	26103	10000	kept
NR2E3	12	0	dropped: <10000 autosomal sites
NR2F1	57327	10000	kept
NR2F2	208587	10000	kept
NR2F6	50854	10000	kept
NR3C1	495432	10000	kept
NR3C2	24	0	dropped: <10000 autosomal sites
NR4A1	28691	10000	kept
NR4A2	28	0	dropped: <10000 autosomal sites
NR5A1	77	0	dropped: <10000 autosomal sites
NR5A2	40365	10000	kept
NRF1	38690	10000	kept
OLIG2	35554	10000	kept
ONECUT2	251716	10000	kept
OSR2	21741	10000	kept
OTX1	5	0	dropped: <10000 autosomal sites
OTX2	239635	10000	kept
OVOL2	13452	10000	kept
PATZ1	9927	0	dropped: <10000 autosomal sites
PAX2	60623	10000	kept
PAX3	28311	10000	kept
PAX5	90748	10000	kept
PAX6	4920	0	dropped: <10000 autosomal sites
PAX7	7878	0	dropped: <10000 autosomal sites
PAX8	444	0	dropped: <10000 autosomal sites
PBX1	35003	10000	kept
PBX2	16873	10000	kept
PBX3	80648	10000	kept
PBX4	67220	10000	kept
PDX1	89933	10000	kept
PGR	699749	10000	kept
PHF21A	565	0	dropped: <10000 autosomal sites
PHOX2B	110299	10000	kept
PITX1	261	0	dropped: <10000 autosomal sites
PITX3	11157	10000	kept
PKNOX1	48967	10000	kept
PLAG1	11356	10000	kept
POU2AF1	2497	0	dropped: <10000 autosomal sites
POU2F1	30578	10000	kept
POU2F2	31353	10000	kept
POU3F2	11798	10000	kept
POU5F1	279469	10000	kept
PPARA	112	0	dropped: <10000 autosomal sites
PPARD	10788	10000	kept
PPARG	542725	10000	kept
PRDM1	39715	10000	kept
PRDM10	29527	10000	kept
PRDM12	3059	0	dropped: <10000 autosomal sites
PRDM14	14638	10000	kept
PRDM4	2013	0	dropped: <10000 autosomal sites
PRDM5	2055	0	dropped: <10000 autosomal sites
PRDM6	23985	10000	kept
PRDM9	77344	10000	kept
PROX1	21618	10000	kept
RARA	138592	10000	kept
RARB	192	0	dropped: <10000 autosomal sites
RARG	17776	10000	kept
RAX2	75	0	dropped: <10000 autosomal sites
RBAK	37831	10000	kept
RBPJ	101152	10000	kept
REL	25507	10000	kept
RELA	809392	10000	kept
RELB	77145	10000	kept
REST	163690	10000	kept
RFX1	23653	10000	kept
RFX2	3284	0	dropped: <10000 autosomal sites
RFX3	3315	0	dropped: <10000 autosomal sites
RFX5	19093	10000	kept
RFX7	355	0	dropped: <10000 autosomal sites
RLF	329	0	dropped: <10000 autosomal sites
RORA	378	0	dropped: <10000 autosomal sites
RORC	44140	10000	kept
RUNX1	681765	10000	kept
RUNX2	112905	10000	kept
RUNX3	38157	10000	kept
RXRA	189552	10000	kept
RXRB	28457	10000	kept
SALL2	39	0	dropped: <10000 autosomal sites
SALL3	10023	10000	kept
SALL4	4384	0	dropped: <10000 autosomal sites
SATB1	91795	10000	kept
SCRT1	55144	10000	kept
SCRT2	16702	10000	kept
SETBP1	380	0	dropped: <10000 autosomal sites
SETDB1	62914	10000	kept
SIX1	2629	0	dropped: <10000 autosomal sites
SIX2	48567	10000	kept
SIX4	152	0	dropped: <10000 autosomal sites
SIX5	14078	10000	kept
SMAD1	96952	10000	kept
SMAD3	160788	10000	kept
SMAD4	77434	10000	kept
SMAD5	16167	10000	kept
SNAI1	1784	0	dropped: <10000 autosomal sites
SNAI2	221632	10000	kept
SOX10	3221	0	dropped: <10000 autosomal sites
SOX11	59	0	dropped: <10000 autosomal sites
SOX13	37478	10000	kept
SOX15	24	0	dropped: <10000 autosomal sites
SOX17	39676	10000	kept
SOX2	137888	10000	kept
SOX3	2359	0	dropped: <10000 autosomal sites
SOX4	54996	10000	kept
SOX5	28211	10000	kept
SOX6	9318	0	dropped: <10000 autosomal sites
SOX8	167557	10000	kept
SOX9	11571	10000	kept
SP1	234197	10000	kept
SP140	91502	10000	kept
SP2	34030	10000	kept
SP3	6179	0	dropped: <10000 autosomal sites
SP4	24373	10000	kept
SP5	118312	10000	kept
SP7	8810	0	dropped: <10000 autosomal sites
SPDEF	29569	10000	kept
SPI1	973121	10000	kept
SPIB	25864	10000	kept
SRCAP	33801	10000	kept
SREBF1	5965	0	dropped: <10000 autosomal sites
SREBF2	79143	10000	kept
SRF	79345	10000	kept
STAT1	260598	10000	kept
STAT2	110865	10000	kept
STAT3	220298	10000	kept
STAT4	30330	10000	kept
STAT5A	178615	10000	kept
STAT5B	203888	10000	kept
STAT6	13591	10000	kept
T	30718	10000	kept
TAL1	319655	10000	kept
TBP	170879	10000	kept
TBX1	1894	0	dropped: <10000 autosomal sites
TBX2	23523	10000	kept
TBX21	60405	10000	kept
TBX3	2344	0	dropped: <10000 autosomal sites
TBX5	29623	10000	kept
TCF12	188178	10000	kept
TCF21	43342	10000	kept
TCF3	86541	10000	kept
TCF4	150888	10000	kept
TCF7	17529	10000	kept
TCF7L1	33780	10000	kept
