target	n_autosomal_sites	reason
NCOA4	4519	not in TF gate set
ADNP	4426	not in TF gate set
ZC3H11A	4406	not in TF gate set
XRN2	4343	not in TF gate set
CSNK2A1	4293	not in TF gate set
KDM4B	4211	not in TF gate set
DDX5	4201	not in TF gate set
ZNF781	4124	not in TF gate set
IGLV5-37	4098	not in TF gate set
ID1	3917	not in TF gate set
ZBTB21	3904	not in TF gate set
MTA1	3899	not in TF gate set
MYOCD	3815	not in TF gate set
SFMBT1	3777	not in TF gate set
UBN1	3776	not in TF gate set
HMGB2	3708	not in TF gate set
BAP1	3598	not in TF gate set
ZNF318	3542	not in TF gate set
CBX7	3532	not in TF gate set
AHRR	3523	not in TF gate set
INSR	3459	not in TF gate set
ZNF577	3336	not in TF gate set
DDX20	3310	not in TF gate set
SS18/SSX1	3134	not in TF gate set
KDM7A	2940	not in TF gate set
NCOA2	2938	not in TF gate set
ZSCAN5DP	2895	not in TF gate set
LIN9	2869	not in TF gate set
MBTD1	2743	not in TF gate set
RYBP	2730	not in TF gate set
DNMT3A	2700	not in TF gate set
TBPL1	2673	not in TF gate set
HMGB1	2611	not in TF gate set
LMTK3	2540	not in TF gate set
DDX21	2519	not in TF gate set
BRCA2	2516	not in TF gate set
METTL3	2501	not in TF gate set
SAFB2	2462	not in TF gate set
HDGF	2397	not in TF gate set
EBNA1BP2	2331	not in TF gate set
MORC2	2328	not in TF gate set
INSM2	2268	not in TF gate set
WRNIP1	2242	not in TF gate set
SRPK1	2216	not in TF gate set
CHAF1B	2188	not in TF gate set
HDAC4	2170	not in TF gate set
ID2	1973	not in TF gate set
MAML1	1971	not in TF gate set
PHF20	1936	not in TF gate set
SETD7	1851	not in TF gate set
HIST1H1T	1824	not in TF gate set
FXR1	1807	not in TF gate set
METTL14	1705	not in TF gate set
TAZ	1656	not in TF gate set
SUMO1	1579	not in TF gate set
SRPK2	1559	not in TF gate set
MIER1	1506	not in TF gate set
ZNF579	1505	not in TF gate set
PBXIP1	1489	not in TF gate set
F10	1475	not in TF gate set
CDC73	1473	not in TF gate set
PHB2	1429	not in TF gate set
SIPA1	1425	not in TF gate set
SMCHD1	1407	not in TF gate set
SUPT20H	1403	not in TF gate set
RAG1	1364	not in TF gate set
AEBP2	1347	not in TF gate set
NAB2	1339	not in TF gate set
TOP2B	1318	not in TF gate set
AUTS2	1281	not in TF gate set
CIITA	1279	not in TF gate set
BAHD1	1279	not in TF gate set
DIDO1	1265	not in TF gate set
SMARCA1	1207	not in TF gate set
KDM1B	1192	not in TF gate set
NME2	1171	not in TF gate set
SNAPC4	1107	not in TF gate set
SETD1A	1103	not in TF gate set
SIRT3	1030	not in TF gate set
CHAMP1	1013	not in TF gate set
KAT2A	989	not in TF gate set
OVOL3	975	not in TF gate set
CSHL1	956	not in TF gate set
ADA2	930	not in TF gate set
DYRK1A	919	not in TF gate set
PRKDC	911	not in TF gate set
GUCY1B3	902	not in TF gate set
COBLL1	893	not in TF gate set
RBM34	873	not in TF gate set
HSD17B8	820	not in TF gate set
WDHD1	808	not in TF gate set
MED25	793	not in TF gate set
PTTG1	792	not in TF gate set
GTF2A2	774	not in TF gate set
SNIP1	747	not in TF gate set
PRMT5	721	not in TF gate set
KAT5	687	not in TF gate set
ATXN7L3	675	not in TF gate set
CDH4	667	not in TF gate set
CAVIN1	665	not in TF gate set
PTPRA	619	not in TF gate set
CASP8AP2	614	not in TF gate set
SKP2	605	not in TF gate set
LAMB3	601	not in TF gate set
TAF9B	584	not in TF gate set
MCM3	561	not in TF gate set
RBM15	556	not in TF gate set
CENPT	500	not in TF gate set
BANP	496	not in TF gate set
HDAC8	428	not in TF gate set
CTR9	407	not in TF gate set
ALKBH3	398	not in TF gate set
PCGF1	381	not in TF gate set
ASXL2	376	not in TF gate set
ZMYND11	365	not in TF gate set
ATOH8	340	not in TF gate set
UBE3A	333	not in TF gate set
NCOA6	332	not in TF gate set
UBE2I	314	not in TF gate set
FAM208A	309	not in TF gate set
GTF2E2	294	not in TF gate set
MAPK3	279	not in TF gate set
PIAS4	278	not in TF gate set
TERT	277	not in TF gate set
EPC1	275	not in TF gate set
DICER1	265	not in TF gate set
ZNF830	259	not in TF gate set
NPM1	258	not in TF gate set
TOX4	257	not in TF gate set
TUBG1	256	not in TF gate set
ZMYM2	244	not in TF gate set
RPA1	231	not in TF gate set
TRIP13	230	not in TF gate set
HMCES	227	not in TF gate set
ILK	218	not in TF gate set
VRTN	208	not in TF gate set
PAF1	198	not in TF gate set
XPO1	198	not in TF gate set
PGM3	194	not in TF gate set
ARHGAP35	193	not in TF gate set
ZSCAN5B	192	not in TF gate set
LAMTOR5	191	not in TF gate set
PPARGC1A	191	not in TF gate set
NPAT	179	not in TF gate set
RUVBL1	173	not in TF gate set
F2RL1	171	not in TF gate set
BRF1	171	not in TF gate set
ZFP36L1	170	not in TF gate set
SQSTM1	168	not in TF gate set
PSMB5	167	not in TF gate set
SVIL	157	not in TF gate set
ATM	151	not in TF gate set
DDX11	150	not in TF gate set
MED16	147	not in TF gate set
SYNCRIP	132	not in TF gate set
PER1	131	not in TF gate set
ZNF165	128	not in TF gate set
MCM2	118	not in TF gate set
WIZ	113	not in TF gate set
ERCC8	113	not in TF gate set
EGFR	107	not in TF gate set
IGF1R	98	not in TF gate set
ZNF544	95	not in TF gate set
MTHFD1	92	not in TF gate set
CHAF1A	88	not in TF gate set
RBMX	83	not in TF gate set
MPHOSPH8	83	not in TF gate set
ADCYAP1	81	not in TF gate set
DPPA3	80	not in TF gate set
DROSHA	78	not in TF gate set
GTF3C1	78	not in TF gate set
THRAP3	76	not in TF gate set
NUFIP1	76	not in TF gate set
ZA	72	not in TF gate set
CARM1	72	not in TF gate set
RBL1	70	not in TF gate set
PGBD5	67	not in TF gate set
ZSCAN18	66	not in TF gate set
PCGF6	61	not in TF gate set
HJURP	57	not in TF gate set
ZNF491	57	not in TF gate set
SIGMAR1	55	not in TF gate set
MCM5	54	not in TF gate set
ID4	50	not in TF gate set
RUVBL2	49	not in TF gate set
ZNF514	47	not in TF gate set
ZNF622	47	not in TF gate set
XRCC3	47	not in TF gate set
TCOF1	46	not in TF gate set
CASP3	45	not in TF gate set
PLRG1	43	not in TF gate set
MCRS1	42	not in TF gate set
TFAM	41	not in TF gate set
LMNB2	40	not in TF gate set
HDAC9	37	not in TF gate set
RPA2	36	not in TF gate set
BRF2	36	not in TF gate set
TOP2BETA	33	not in TF gate set
MAP2K1	33	not in TF gate set
USP22	30	not in TF gate set
ALYREF	26	not in TF gate set
CGAS	23	not in TF gate set
NUP214	22	not in TF gate set
SNAPC2	21	not in TF gate set
ZNF155	19	not in TF gate set
WRN	19	not in TF gate set
SMARCAL1	17	not in TF gate set
MDM2	17	not in TF gate set
PCGF5	13	not in TF gate set
TDRD3	13	not in TF gate set
REPIN1	12	not in TF gate set
ZNF473	12	not in TF gate set
ZNF837	12	not in TF gate set
PBRM1	12	not in TF gate set
ZNF670	12	not in TF gate set
RBM17	11	not in TF gate set
ZNF195	11	not in TF gate set
COIL	10	not in TF gate set
STN1	9	not in TF gate set
ZNF280C	8	not in TF gate set
SOD1	8	not in TF gate set
CHTOP	8	not in TF gate set
ZNF221	7	not in TF gate set
ZNF645	7	not in TF gate set
NXF1	6	not in TF gate set
ZNF747	6	not in TF gate set
MBD3L2	5	not in TF gate set
DKK1	5	not in TF gate set
MAP1LC3B	5	not in TF gate set
PRDM2	4	not in TF gate set
NUP107	2	not in TF gate set
COPS2	2	not in TF gate set
ING5	2	not in TF gate set
ING2	1	not in TF gate set
TAF12	1	not in TF gate set
PRMT3	1	not in TF gate set
